team,abbrevation,region,tier,players,last_change,changes,url
G2 Esports,G2,,,"['valyn', 'jawgemo', 'trent', 'JonahP', 'leaf']",2024-10-07,1,https://www.vlr.gg/team/11058/g2-esports
KCORP Blue Stars,KCBS,,,"['f4ngeer', 'Yohpa', 'Sevire', 'ease', 'soren']",2025-01-09,5,https://www.vlr.gg/team/17142/kcorp-blue-stars
Teddy Tactics,TDY,,,"['oranges', 'venus', 'aria', 'calsushi', 'Kestrel']",Unknown,21,https://www.vlr.gg/team/10915/teddy-tactics
Fancy United Esports,FCY,,,"['YESicaN', '16Ch0ps', 'Crus', 'Hyuse', 'Nia', 'twilight']",2025-01-09,1,https://www.vlr.gg/team/4330/fancy-united-esports
MIBR,,,,"['artzin', 'xenom', 'cortezia', 'nzr', 'aspas']",2024-11-27,1,https://www.vlr.gg/team/7386/mibr
Digital Athletics,DATH,,,"['lurzy0y0', 'Celasun', 's0pp', 'audaz', 'pckwN']",2025-02-03,0,https://www.vlr.gg/team/4669/digital-athletics
FURIA,FUR,,,"['raafa', 'heat', 'mwzera', 'havoc', 'Khalil']",2024-12-09,2,https://www.vlr.gg/team/2406/furia
Ambitious Legend Gaming GC,ALG.GC,,,"['Yusin', 'Laiyin', '1hp']",Unknown,7,https://www.vlr.gg/team/16468/ambitious-legend-gaming-gc
Dplus Esports,DK,,,"['Felix', 'Rico', 'CabezA', 'Bangnan', 'RedLight', 'kAyle']",2025-01-07,5,https://www.vlr.gg/team/11348/dplus-esports
Blue Otter,BLUE,,,"['Zoestol', 'Bob', 'zeldris', 'zeek', 'Shondex', 'welyy', 'Zeke']",2025-02-11,1,https://www.vlr.gg/team/16278/blue-otter
EDward Gaming,EDG,,,"['nobody', 'S1Mon', 'ZmjjKK', 'CHICHOO', 'Smoggy', 'JuiceFlip']",2025-02-19,0,https://www.vlr.gg/team/1120/edward-gaming
NRG Esports,NRG,,,"['FiNESSE', 's0m', 'brawk', 'mada', 'Ethan', 'Verno']",2025-02-16,2,https://www.vlr.gg/team/1034/nrg-esports
MIBR GC,MIBR.GC,,,"['srN', 'sayuri', 'Jelly', 'Mel', 'jubs']",2024-01-16,5,https://www.vlr.gg/team/8050/mibr-gc
LOUD,LOUD,,,"['dgzin', 'v1nny', 'pANcada', 'tuyz', 'cauanzin']",2025-01-16,1,https://www.vlr.gg/team/6961/loud
The MongolZ,MGLZ,,,"['SkyIsBlue', 'MnFeaR', 'CXIX666', 'nex1SphiX', '123']",2025-02-05,1,https://www.vlr.gg/team/15237/the-mongolz
NOEZ FOXX,NFX,,,"['YoWamu', 'BlackWiz', 'Esperanza', 'thiefy', 'eKo', 'barce']",2024-12-29,1,https://www.vlr.gg/team/14383/noez-foxx
TALON Academy,TLN.AC,,,"['Surf', 'snappy', 'tbloy', 'canady']",2025-02-24,1,https://www.vlr.gg/team/16914/talon-academy
DRX Academy,DRX.AC,,,"['ZynX', 'Flicker', 'yong', 'SacrificE', 'Athan']",2025-02-03,1,https://www.vlr.gg/team/9749/drx-academy
Lotus Knights,LK,,,['meow'],2024-11-26,2,https://www.vlr.gg/team/14463/lotus-knights
Xi Lai Gaming,XLG,,,"['coconut', 'Viva', 'Rarga', 'happywei', 'YOU', 'Coffin0']",2025-01-02,0,https://www.vlr.gg/team/13581/xi-lai-gaming
S2G Esports,S2G,,,"['reazy', 'pAura', 'Turko', 'DeepMans', 'Patrui']",2025-02-16,1,https://www.vlr.gg/team/9077/s2g-esports
Team Valiant,VLNT,,,"['Veqaj', 'Anq', 'NeskaaS', 'Goaster', 'Juskay', 'xiTsha']",2025-02-03,1,https://www.vlr.gg/team/10188/valiant
JDG Esports,JDG,,,"['stew', 'jkuro', 'MrCANI', 'Babyblue', 'Z1yan', 'YiHao', 'Phong']",2025-01-03,0,https://www.vlr.gg/team/13576/jdg-esports
F4TALITY,F4T,,,"['mixyce', 'kramarick', 'Bruxo', 'sanoj', 'Renna']",Unknown,25,https://www.vlr.gg/team/16068/f4tality
Trust In Plug,PLUG,,,"['Teague', 'mikeE', 'Jerrwin', 'sacred', 'Kaoticcc']",2025-02-18,2,https://www.vlr.gg/team/16898/trust-in-plug
Apeks,APK,,,"['florescent', 'hype', 'MOLSI', 'AvovA', 'batujnax']",2025-01-15,1,https://www.vlr.gg/team/11479/apeks
Barça eSports,BAR,,,"['Fit1nho', 'Vorwenn', 'Saiz', 'krejz', 'lowel']",2024-12-31,1,https://www.vlr.gg/team/14461/bar-a-esports
Lunar,,,,"['LizA', 'els', 'Ninou', 'ja2', 'Mel']",Unknown,5,https://www.vlr.gg/team/17445/lunar
2Game Esports,2G,,,"['gobera', 'Zap', 'pryze', 'lz', 'spike', 'silentzz']",2024-11-11,1,https://www.vlr.gg/team/15072/2game-esports
MOUZ,MOUZ,,,"['iluri', 'bipo', 'Lime', 'Fizzy', 'Obnoks']",2025-01-16,3,https://www.vlr.gg/team/8044/mouz
NXT,,,,"['Akira', 'laser', 'Mally', 'avey']",2025-02-26,2,https://www.vlr.gg/team/13224/nxt
ZETA DIVISION Academy,ZETA.AC,,,"['Lefiedot', 'Falk', 'HoneyBunny', 'KillAA']",2025-02-25,2,https://www.vlr.gg/team/6997/zeta-division-academy
NOVO Esports,NOVO,,,"['alannn', 'Buld', 'Insider', 'Kamisseq', 'Katu']",2025-01-03,4,https://www.vlr.gg/team/13161/novo-esports
Team Vitality,VIT,,,"['Sayf', 'trexx', 'Derke', 'Kicks', 'Less', 'maLek']",2024-11-14,0,https://www.vlr.gg/team/2059/team-vitality
Alter Ego,AE,,,"['Nakya', 'adrnking', 'sayoo', 'Cud', 'gotten']",2025-01-21,2,https://www.vlr.gg/team/1110/alter-ego
G2 Gozen,G2.G,,,"['mimi', 'amy', 'Vania', 'Nelo', 'Petra']",2025-01-23,1,https://www.vlr.gg/team/6530/g2-gozen
Shopify Rebellion Gold,SRG,,,"['meL', 'dodonut', 'alexis', 'Noia', 'sarahcat']",2025-01-16,1,https://www.vlr.gg/team/14278/shopify-rebellion
DVM Esport,DVM,,,"['MARCTYLINHO', 'sh1n', 'Sayonara', 'logaN', 'TakaS', 'Foxie']",2024-11-29,1,https://www.vlr.gg/team/14318/dvm-esport
TSM,,,,"['vora', 'Recoil', 'seven', 'gMd', 'sym']",2025-01-27,1,https://www.vlr.gg/team/106/tsm
Karmine Corp,KC,,,"['saadhak', 'Avez', 'Elite', 'SUYGETSU', 'marteen']",2024-11-25,2,https://www.vlr.gg/team/8877/karmine-corp
WYLDE,WYL,,,"['Drog', 'merix', 'Brädi', 'aidan', 'Fractioned']",2025-01-23,5,https://www.vlr.gg/team/8128/wylde
GMBLERS Esports,GMB,,,"['Davia', 'loll9', 'aster', 'DrastZ', 'Ciuffo']",2025-01-27,3,https://www.vlr.gg/team/15384/gmblers-esports
Melilla Titans,MT,,,"['pol', 'Chechuu', 'BERN1', 'AleZ', 'Ekixx']",2025-02-04,2,https://www.vlr.gg/team/7940/melilla-titans
TALON,TLN,,,"['Crws', 'Killua', 'thyy', 'JitBoyS', 'primmie']",2025-02-28,1,https://www.vlr.gg/team/8304/talon
E-Xolos LAZER,EXL,,,"['Cebando', 'Mited', 'Feniz', 'Virtyy', 'Darker']",2025-01-27,2,https://www.vlr.gg/team/724/e-xolos-lazer
Oblivion Force,OF,,,"['riyabtw', 'CHAK', 'CHIMEI', 'Kiuuuu', 'Uta']",2024-11-04,1,https://www.vlr.gg/team/3108/oblivion-force
Axolotl,AXL,,,"['Kheops', 'summoNN', 'RickyVaila', 'nk4y', 'sword']",2024-10-12,1,https://www.vlr.gg/team/6127/axolotl
DFM Academy,DFM.AC,,,"['Sota', 'taru', 'mimi', 'Lucky', 'kuro']",2025-01-03,1,https://www.vlr.gg/team/16866/dfm-academy
IGNITE,IGN,,,"['Xan', 'lenne', 'Tempz', 'hyk']",2024-12-24,1,https://www.vlr.gg/team/16645/ignite
Elation Vortex,EV,,,"['Gia', 'Celeste', 'Hyungwonho', 'aurelia']",Unknown,7,https://www.vlr.gg/team/16498/elation-vortex
Murash Gaming,MRSH,,,"['Reita', 'TENNN', 'Ask', 'Tonbo', 'Absol']",2025-01-09,2,https://www.vlr.gg/team/11490/murash-gaming
Burger Boyz,BURG,,,"['Nanners', 'RetrQ', 'Matt', 'alvinboy', 'Boni']",2025-02-07,0,https://www.vlr.gg/team/15250/burger-boyz
Coalesce,CLS,,,"['jamter', 'chukl9', 'Waken', 'Kubfu']",2025-02-10,1,https://www.vlr.gg/team/12478/coalesce
Rapid Lofi,RLF,,,"['albus', 'TRIPCIEW', 'Pr0digy', 'gin', 'DaFt', 'Jay']",2025-01-05,0,https://www.vlr.gg/team/11276/rapid-lofi
Trace Esports,TE,,,"['LuoK1ng', 'Kai', 'FengF', 'heybay', 'Biank', 'Draven']",2025-01-04,0,https://www.vlr.gg/team/12685/trace-esports
Hakikimori,MORI,,,"['Booey', 'Garpa', 'Demi', 'kaiser', 'ghost']",Unknown,5,https://www.vlr.gg/team/17391/hakikimori
9z Team,9ZG,,,"['Tacolilla', 'suther', 'delz1k', 'NagZ', 'Mikey Tap']",2025-01-22,5,https://www.vlr.gg/team/367/9z-team
ZETA DIVISION,ZETA,,,"['Dep', 'SugarZ3ro', 'CLZ', 'SyouTa', 'Xdll', 'hiroronn']",2025-02-10,0,https://www.vlr.gg/team/5448/zeta-division
TeamOrangeGaming,TOG,,,"['ico', 'SPMAK', 'samed', 'Shazeon', 'xanarchy']",2025-01-30,0,https://www.vlr.gg/team/9042/teamorangegaming
HEROIC Valkyries,HERO,,,"['Cille', 'Miyori', 'fluxxy', 'Lyda', 'adora']",2025-01-03,1,https://www.vlr.gg/team/15749/heroic-valkyries
Refrag,RF,,,"['mili', 'maryna', 'Kazler', 'riv']",2024-08-06,2,https://www.vlr.gg/team/16279/refrag
Galorys,GLRS,,,"['prozin', 'RgLMeister', 'Urango', 'lukxo', 'Sato']",2024-11-16,1,https://www.vlr.gg/team/10755/galorys
MIBR Academy,MIBR.AC,,,"['Kenkayyy', 'gbz', 'Luid', 'txddy']",2025-03-01,1,https://www.vlr.gg/team/16606/mibr-academy
